norm, level, Npoints, dimSplit, MainGridIndexSplit
916.595937147496, 0, 659, -1, -1, -1
153.771983235998, 1, 236, 0, 196, 0.47796803652968
114.858471730807, 1, 423, 0, 196, 0.47796803652968
99.609193037323, 3, 60, 7, 4, 0.0549450549450549
93.3235603704715, 2, 112, 3, 118, 0.496006389776358
88.6930251042049, 2, 124, 3, 118, 0.496006389776358
76.9123132396186, 5, 42, 7, 5, 0.112637362637363
76.6968391768411, 3, 39, 7, 4, 0.0549450549450549
71.3316247250922, 3, 117, 7, 4, 0.0549450549450549
63.2026016260161, 3, 16, 2, 138, 0.873563218390805
59.5551634108944, 4, 24, 7, 4, 0.0549450549450549
56.0593863743744, 3, 73, 7, 4, 0.0549450549450549
55.5436922970226, 6, 22, 7, 3, 0.0260989010989011
50.7518168252586, 2, 177, 2, 1, 0.0612193903048476
49.1136155533611, 5, 103, 7, 5, 0.112637362637363
47.9434194335598, 4, 30, 3, 173, 0.651357827476038
47.7552601327552, 5, 19, 3, 96, 0.454073482428115
47.5520471513188, 5, 8, 7, 4, 0.0549450549450549
46.7189139026705, 4, 39, 7, 4, 0.0549450549450549
46.3590999087388, 4, 85, 4, 51, 0.28416149068323
44.1075974430683, 5, 5, 7, 2, 0.010989010989011
43.0497539372597, 2, 246, 2, 1, 0.0612193903048476
38.5380105454956, 5, 6, 0, 206, 0.494063926940639
35.4944504909216, 4, 145, 4, 51, 0.28416149068323
34.605078481883, 4, 34, 6, 80, 0.312970396387356
33.9024029615815, 5, 14, 6, 4, 0.0464124435524335
33.0353333333333, 5, 9, 6, 100, 0.361264425489212
32.3107466162445, 4, 39, 6, 80, 0.312970396387356
31.2470486606335, 7, 2, 1, 120, 0.471619365609349
30.5516568750195, 7, 17, 1, 138, 0.515720645520312
30.45, 6, 4, 1, 176, 0.726488592097941
30.2471858195106, 7, 10, 7, 5, 0.112637362637363
30.2471858195105, 7, 10, 7, 5, 0.112637362637363
28.9470010787488, 6, 81, 7, 3, 0.0260989010989011
28.675946916693, 9, 8, 0, 149, 0.371575342465753
28.6194539125553, 3, 61, 6, 175, 0.473406924234822
28.3647853614057, 5, 20, 6, 4, 0.0464124435524335
28.1615131034647, 3, 63, 6, 175, 0.473406924234822
28.1533452840606, 4, 87, 3, 173, 0.651357827476038
27.4541872233317, 5, 24, 7, 4, 0.0549450549450549
27.3507619415109, 4, 29, 6, 108, 0.378198695434019
27.298, 5, 9, 1, 63, 0.33889816360601
26.9437179487179, 4, 4, 5, 280, 0.940988372093023
26.7243664330887, 9, 5, 7, 4, 0.0549450549450549
26.1237499999999, 6, 9, 6, 122, 0.407049673858505
26.1114189896693, 7, 3, 2, 18, 0.433533233383308
26.0371496523804, 4, 32, 6, 108, 0.378198695434019
25.6227682063135, 5, 66, 3, 96, 0.454073482428115
24.959, 6, 4, 5, 110, 0.379796511627907
24.8153403372072, 6, 20, 3, 30, 0.289536741214057
24.3069602708742, 7, 34, 1, 2, 0.0342237061769616
24.051875, 6, 16, 7, 6, 0.197802197802198
23.907, 7, 4, 3, 81, 0.423722044728435
23.6810401442287, 8, 3, 4, 49, 0.277950310559006
22.7565210102765, 9, 2, 5, 131, 0.424127906976744
22.624468300829, 7, 31, 1, 138, 0.515720645520312
22.289375, 7, 1, 0, 173, 0.428310502283105
22.2385082683169, 12, 2, 7, 4, 0.0549450549450549
21.68, 6, 9, 7, 2, 0.010989010989011
21.5132100115254, 6, 20, 4, 26, 0.197204968944099
20.9627386092562, 7, 10, 5, 219, 0.671511627906977
20.9627386092562, 7, 10, 5, 219, 0.671511627906977
20.8065029544021, 5, 23, 0, 166, 0.416666666666667
20.7009540231834, 5, 11, 1, 116, 0.463828603227602
20.6738414215167, 7, 47, 1, 2, 0.0342237061769616
20.5706419947773, 4, 23, 0, 99, 0.230022831050228
20.5120409205733, 6, 22, 4, 26, 0.197204968944099
20.2353697380973, 6, 15, 6, 122, 0.407049673858505
20.1322717307714, 5, 24, 7, 2, 0.010989010989011
19.6223203170787, 6, 5, 3, 128, 0.524760383386581
19.4362856890049, 5, 26, 6, 100, 0.361264425489212
19.2505892807031, 6, 2, 4, 69, 0.343167701863354
19.2120912448385, 6, 2, 3, 81, 0.423722044728435
19.1837931034483, 8, 1, 6, 82, 0.317360762669343
19.1357237124703, 8, 2, 7, 3, 0.0260989010989011
18.8687358386501, 7, 10, 1, 18, 0.139259877573734
18.7754307540466, 6, 12, 7, 2, 0.010989010989011
18.4588372093024, 8, 16, 0, 156, 0.395091324200913
18.1938574799299, 10, 2, 4, 85, 0.395962732919255
18.0175641736057, 9, 11, 7, 4, 0.0549450549450549
17.8707359029864, 5, 21, 1, 63, 0.33889816360601
17.7204534860887, 6, 7, 5, 157, 0.484593023255814
17.6861548110379, 8, 2, 6, 291, 0.762418464626192
17.5833886255055, 7, 2, 1, 57, 0.32943795214246
17.533965730833, 5, 7, 3, 171, 0.646565495207668
17.4876923076923, 6, 1, 6, 106, 0.376944305067737
17.4859375, 6, 1, 0, 214, 0.507648401826484
17.3541235733759, 4, 5, 6, 38, 0.20822880080281
17.2247204173914, 7, 12, 1, 18, 0.139259877573734
17.1770866945685, 10, 2, 4, 48, 0.274844720496894
17.1077919431325, 9, 7, 2, 93, 0.648925537231384
16.6698245520032, 3, 230, 2, 138, 0.873563218390805
16.6234062821874, 6, 14, 7, 5, 0.112637362637363
16.4326629104395, 5, 33, 0, 206, 0.494063926940639
16.3627508590253, 6, 46, 3, 30, 0.289536741214057
16.2586099835422, 9, 5, 5, 243, 0.75203488372093
16.2185080942979, 4, 37, 0, 99, 0.230022831050228
16.0901861490941, 7, 5, 5, 170, 0.515116279069767
15.8611122087954, 7, 2, 1, 69, 0.360044518642181
15.7461904761904, 6, 9, 7, 6, 0.197802197802198
15.725, 12, 4, 7, 4, 0.0549450549450549
15.6889162149589, 12, 3, 0, 72, 0.146232876712329
15.5152059527165, 7, 3, 0, 270, 0.914497716894977
15.332258086167, 5, 3, 5, 123, 0.409302325581395
15.1973885083605, 8, 2, 6, 42, 0.225664826894129
14.88, 8, 4, 0, 253, 0.682420091324201
14.7904981492497, 6, 8, 6, 213, 0.530983442047165
14.6952964016835, 8, 3, 0, 201, 0.4837899543379
14.6714285714286, 7, 1, 0, 64, 0.132191780821918
14.5697872340426, 8, 1, 5, 248, 0.770058139534884
14.498, 7, 1, 5, 148, 0.462790697674419
14.4164634296412, 7, 11, 3, 81, 0.423722044728435
14.2694500869909, 6, 19, 7, 5, 0.112637362637363
14.211, 8, 1, 7, 11, 0.615384615384615
14.2096195089576, 8, 27, 0, 156, 0.395091324200913
14.0546300529728, 8, 3, 6, 205, 0.520572002007025
13.8863565057652, 6, 48, 7, 6, 0.197802197802198
13.835, 11, 1, 7, 4, 0.0549450549450549
13.6366009652096, 6, 12, 7, 6, 0.197802197802198
13.6176539829737, 6, 20, 1, 176, 0.726488592097941
13.4648037949793, 5, 26, 1, 116, 0.463828603227602
13.4266666666667, 14, 1, 7, 5, 0.112637362637363
13.218, 8, 1, 6, 289, 0.753888610135474
13.1574268126529, 9, 38, 0, 149, 0.371575342465753
13.0233725007203, 9, 3, 0, 90, 0.196575342465753
12.71, 9, 4, 0, 264, 0.844748858447489
12.6208768844852, 12, 3, 0, 79, 0.158333333333333
12.615, 11, 1, 7, 2, 0.010989010989011
12.5147798744573, 8, 2, 6, 173, 0.470020070245861
12.5093617835366, 6, 2, 6, 208, 0.524711490215755
12.4795, 6, 16, 5, 110, 0.379796511627907
12.4730603448276, 5, 64, 0, 166, 0.416666666666667
12.4608333333333, 7, 1, 1, 116, 0.463828603227602
12.2857894736842, 11, 4, 2, 46, 0.508495752123938
12.2572727272727, 8, 4, 6, 8, 0.0815353738083291
12.1683333333333, 9, 1, 1, 43, 0.294101279910963
12.1494691242045, 8, 6, 0, 253, 0.682420091324201
12.14, 8, 1, 7, 8, 0.259615384615385
