norm, level, Npoints, dimSplit, MainGridIndexSplit
1143.14115835837, 0, 21709, -1, -1, -1
259.480814003693, 1, 5736, 2, 11895, 0.510099136420784
155.495053160755, 1, 15973, 2, 11895, 0.510099136420784
105.837466499135, 2, 1246, 5, 10153, 0.127136830344928
94.6784596680566, 2, 6985, 2, 7323, 0.399276572064552
88.8631813163617, 7, 868, 3, 12655, 0.183882096178239
84.9406982679121, 3, 4476, 6, 14447, 0.0257940712373895
84.6011604734017, 3, 4512, 6, 14447, 0.0257940712373895
83.4647039149716, 2, 8988, 2, 7323, 0.399276572064552
80.1033871405291, 3, 2275, 3, 22045, 0.313349574865759
76.9281632218934, 4, 334, 8, 9354, 0.423369658796843
75.7769636910988, 3, 2240, 2, 14295, 0.57978317772419
75.6083829178967, 3, 2250, 2, 14295, 0.57978317772419
73.5830837653786, 5, 1446, 4, 6905, 0.113740513661378
73.3430064440201, 5, 290, 4, 29209, 0.393009343972037
68.6357245927985, 7, 1455, 3, 12655, 0.183882096178239
62.4850033443013, 4, 743, 5, 11884, 0.140973413150502
58.5098586236897, 5, 2287, 4, 6905, 0.113740513661378
58.4193362447207, 4, 252, 3, 12696, 0.184212661647351
58.0855081376831, 4, 656, 5, 24919, 0.329994904228637
55.7539043874018, 2, 4490, 5, 10153, 0.127136830344928
55.6712698232846, 3, 4710, 3, 22045, 0.313349574865759
53.3460149571621, 5, 68, 3, 12731, 0.184493732919274
52.3583827028504, 9, 165, 3, 25247, 0.407037210434548
51.3587388597867, 5, 85, 1, 22264, 0.221704396820606
48.6532320456528, 8, 377, 7, 26, 0.0732758620689655
48.1222950480253, 6, 12, 5, 21138, 0.243925584681131
47.2968373660654, 8, 191, 7, 15, 0.0416666666666667
47.0846335947685, 9, 99, 8, 9596, 0.427820297507792
44.2985846150844, 7, 266, 7, 28, 0.0790229885057471
44.1762985771577, 8, 236, 7, 20, 0.0560344827586207
44.1075630234934, 5, 25, 3, 21562, 0.297054133267378
43.4886654100864, 4, 516, 3, 29222, 0.554224587657569
43.4317779407508, 6, 61, 3, 11679, 0.174672132313186
43.0747136241991, 8, 44, 3, 22484, 0.326258498014237
42.88154054016, 7, 137, 3, 21876, 0.307311282808727
42.7514004273195, 8, 143, 1, 24645, 0.257389744105711
41.9601823186826, 7, 18, 6, 40, 0.00183880293323471
41.0394581178452, 9, 452, 7, 27, 0.0761494252873563
40.9006755054663, 4, 185, 3, 6590, 0.138915572380175
39.6827669863735, 5, 450, 2, 16520, 0.680115006492302
39.4417297084314, 10, 98, 6, 419, 0.00352873926486792
38.2621317969893, 9, 520, 7, 27, 0.0761494252873563
38.0719446443898, 9, 285, 8, 23999, 0.617735427183957
37.4882794210782, 8, 635, 7, 26, 0.0732758620689655
37.4466303632965, 5, 99, 1, 13991, 0.145350974276419
37.3802433206148, 4, 1584, 5, 24919, 0.329994904228637
37.306078289449, 8, 307, 7, 15, 0.0416666666666667
36.3651775503929, 9, 209, 6, 25020, 0.0368249338301784
36.1977053478444, 6, 75, 7, 106, 0.30316091954023
36.1762861558369, 9, 10, 7, 86, 0.245689655172414
36.0170964690425, 4, 979, 1, 23346, 0.236089814535332
35.9601256073526, 11, 52, 3, 24054, 0.373765956301782
35.6533472990054, 8, 552, 7, 87, 0.248563218390805
34.6651567128014, 9, 52, 5, 27066, 0.39285518841206
34.5586972421536, 5, 6, 0, 30430, 0.626498728695186
34.1879226554883, 9, 387, 3, 25247, 0.407037210434548
34.0790557744143, 7, 169, 7, 92, 0.262931034482759
33.4203312911277, 6, 9, 4, 17694, 0.196086146366131
33.4047814127546, 6, 516, 3, 1986, 0.0907673385143766
32.7690598084042, 10, 34, 0, 21593, 0.240050426769865
32.7641649455276, 8, 40, 8, 8928, 0.413416548340649
32.5871822468306, 5, 1469, 4, 29209, 0.393009343972037
32.5436107648483, 7, 759, 3, 4182, 0.118268126936025
32.1430889750511, 11, 21, 3, 27043, 0.464415624105096
32.0622004976291, 9, 24, 3, 20038, 0.260813227303286
31.9501156311009, 5, 95, 1, 6371, 0.0974189220914244
31.8916176929133, 7, 165, 7, 188, 0.538793103448276
31.6102018964566, 4, 1271, 1, 23346, 0.236089814535332
31.3476244972724, 6, 116, 1, 23881, 0.244248247643962
31.171321960486, 7, 202, 7, 92, 0.262931034482759
31.001895440332, 3, 603, 7, 39, 0.110632183908046
30.7309114797641, 8, 743, 7, 87, 0.248563218390805
30.4368932201469, 10, 5, 4, 24254, 0.284214146797668
30.3545171482465, 10, 14, 5, 7406, 0.108963600414769
30.3489467348145, 8, 280, 0, 10684, 0.139154912001316
30.0221241670229, 3, 643, 7, 39, 0.110632183908046
29.8939859443879, 6, 389, 8, 1492, 0.197447651654859
29.8650263366076, 7, 17, 3, 27012, 0.462806714145776
29.8245641481085, 8, 62, 8, 2379, 0.239977640749734
29.7255555890025, 7, 14, 2, 1160, 0.217574558420413
29.4219878999644, 7, 603, 7, 28, 0.0790229885057471
29.3789740217537, 5, 821, 2, 16520, 0.680115006492302
29.3543548481599, 9, 216, 3, 8918, 0.154111127438774
29.2898594645357, 6, 341, 7, 37, 0.104885057471264
29.2642401013744, 8, 501, 3, 22212, 0.319040710441101
29.2621328577511, 8, 377, 4, 12921, 0.159740762734341
29.1962091499696, 11, 83, 3, 11995, 0.177655307911069
29.1858196109073, 7, 226, 4, 8488, 0.126269508017714
28.8164370145154, 9, 18, 5, 12909, 0.148971535461807
28.7718545251556, 5, 1366, 1, 19888, 0.193351443807224
28.5157817207969, 5, 150, 5, 4837, 0.0901406951712414
28.5015363735367, 8, 950, 3, 5457, 0.128579371543597
28.3120302002345, 11, 412, 2, 9737, 0.456944702075476
28.2566959113264, 8, 323, 0, 10684, 0.139154912001316
28.1835936532313, 7, 1012, 3, 4182, 0.118268126936025
28.1771420521632, 8, 972, 3, 5457, 0.128579371543597
27.8766902401805, 4, 3733, 5, 11884, 0.140973413150502
27.688230794982, 7, 50, 3, 29707, 0.605012604986952
27.6006142557652, 9, 81, 0, 20836, 0.227898936585075
27.2303108991497, 6, 1968, 4, 9312, 0.132678035728525
27.2099788420583, 4, 418, 3, 6590, 0.138915572380175
27.1920985839297, 8, 183, 1, 21223, 0.208753731093001
27.1556659245897, 9, 10, 7, 76, 0.216954022988506
26.9311415393589, 10, 10, 3, 28113, 0.498014515881224
26.7376477792245, 7, 7, 5, 28924, 0.471496728258931
26.6047008400058, 9, 37, 6, 6403, 0.018875970374688
26.5647347040636, 14, 44, 5, 10268, 0.128006558406992
26.5508951640662, 11, 23, 8, 8761, 0.409027048204647
26.5161047544401, 12, 8, 7, 148, 0.423850574712644
26.2176849712573, 12, 8, 7, 68, 0.193965517241379
26.2043953774725, 9, 91, 5, 27066, 0.39285518841206
26.1235540407855, 4, 206, 6, 2758, 0.0139354779151962
26.1040427960053, 10, 11, 6, 25118, 0.0369701288339826
